City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Abnub,EG,77.22,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
255,Sao Filipe,CV,77.76,broken clouds,14.8961,-24.4956,Hotel Xaguate
262,Corn Island,NI,83.46,scattered clouds,12.1694,-83.0418,Big Fish Guest House
263,Guerrero Negro,MX,73.42,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
265,Cuamba,MZ,73.62,clear sky,-14.8031,36.5372,Hotel Vision
269,Ishigaki,JP,84.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
270,Roquetas De Mar,ES,70.61,clear sky,36.7642,-2.6148,Mediterráneo Bay Hotel and Resort
274,Birao,CF,70.45,overcast clouds,10.2849,22.7882,
276,San Patricio,US,82.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
284,Garowe,SO,76.46,broken clouds,8.4054,48.4845,Curubo Hotel
285,Yoshida,JP,75.09,light rain,37.6833,138.8833,Hotel Tsubame Hills
287,Alvarado,MX,79.9,broken clouds,18.7667,-95.7667,Del Pastor
288,Naze,JP,83.32,few clouds,28.3667,129.4833,Shishime Hotel
294,Safford,US,76.12,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
295,Mandiana,GN,70.88,light rain,10.6333,-8.6833,Centre d'accueil de Mandiana
296,Jalu,LY,73.98,clear sky,29.0331,21.5482,صاحبة الفخامة
297,Acarau,BR,77.5,clear sky,-2.8856,-40.12,castelo pizzaria
300,Saint George,US,76.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
302,Broken Hill,AU,70.34,clear sky,-31.95,141.4333,Royal Exchange Hotel
303,Kieta,PG,83.57,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
304,Misratah,LY,77.32,scattered clouds,32.3754,15.0925,Almasa Hotel
311,Najran,SA,74.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
313,Caravelas,BR,73.54,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
314,Semey,KZ,71.82,clear sky,50.4111,80.2275,Grand Hotel Semey
315,Kanchanaburi,TH,82.08,overcast clouds,14.6333,99.1,แพบุญศรี
316,Cockburn Town,TC,82.31,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
317,Jiwani,PK,81.21,few clouds,25.05,61.7417,
318,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
319,Kingston,JM,81.55,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
320,Port-Gentil,GA,77.02,overcast clouds,-0.7193,8.7815,Fengshui Residence
325,Vangaindrano,MG,70.92,scattered clouds,-23.35,47.6,Hotel Fanilo
326,Dingle,PH,84.22,light rain,10.9995,122.6711,SEGAYA PROPERTY
330,Mitsamiouli,KM,79.09,scattered clouds,-11.3847,43.2844,Foyer ADM
332,Kailua,US,82.38,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
333,Marsh Harbour,BS,83.16,clear sky,26.5412,-77.0636,Abaco Beach Resort
336,Ribeira Grande,PT,74.34,light rain,38.5167,-28.7,Quinta da Meia Eira
342,Hamadan,IR,71.82,clear sky,34.7992,48.5146,Parsian BuAli Hotel
346,Wanning,CN,77.54,moderate rain,18.8003,110.3967,Paradise Hotel
349,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le four à pain
352,Kudahuvadhoo,MV,82.47,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
353,Shache,CN,79.21,clear sky,38.4167,77.2406,Delong Hotel
355,Huilong,CN,72.36,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
359,Dakar,SN,77.13,light rain,14.6937,-17.4441,Novotel Dakar
360,Malakal,SS,71.04,overcast clouds,9.5334,31.6605,Nile Palace Hotel
363,Kamakwie,SL,71.29,overcast clouds,9.5,-12.2333,White House Hotel
366,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
370,Sassandra,CI,73.26,overcast clouds,4.95,-6.0833,la terrasse
372,Aripuana,BR,73.89,overcast clouds,-9.1667,-60.6333,
374,Beberibe,BR,75.96,clear sky,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
376,Adeje,ES,71.31,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
381,Zhanaozen,KZ,79.99,overcast clouds,43.3,52.8,K.korabay 28A
382,Callaway,US,83.95,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
384,Tecoanapa,MX,77.68,broken clouds,16.5167,-98.75,Hotel Manglares
387,Santa Ana,US,77.74,clear sky,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
388,Benguela,AO,70.48,few clouds,-12.5763,13.4055,Hotel Praia Morena
392,Mayumba,GA,75.54,light rain,-3.432,10.6554,LIKWALE LODGE
