City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
79,Kismayo,SO,-0.3582,42.5454,77.09,78,77,15.75,broken clouds
80,Labelle,US,26.7617,-81.4384,73.42,69,17,4.16,few clouds
81,Bairiki,KI,1.3292,172.9752,87.8,70,40,14.97,scattered clouds
82,Sao Jose De Ribamar,BR,-2.5619,-44.0542,80.98,87,100,11.74,overcast clouds
83,Cherskiy,RU,68.75,161.3,-12.05,100,49,4.74,scattered clouds
84,Mahajanga,MG,-15.7167,46.3167,75.22,94,40,10.36,thunderstorm with light rain
85,North Bend,US,43.4065,-124.2243,45.86,82,0,0.0,clear sky
86,Kassala,SD,15.451,36.4,73.78,42,19,6.78,few clouds
87,Mar Del Plata,AR,-38.0023,-57.5575,68.95,89,75,7.0,broken clouds
88,Georgiyevskoye,RU,58.731,45.024,25.43,94,100,10.58,overcast clouds
89,Ostrovnoy,RU,68.0531,39.5131,16.18,97,93,4.27,overcast clouds
90,Bandar-E Lengeh,IR,26.5579,54.8807,64.51,88,0,9.22,mist
91,Port Hardy,CA,50.6996,-127.4199,37.58,87,100,11.5,light rain
92,Alice Springs,AU,-23.7,133.8833,78.35,65,100,11.5,overcast clouds
93,Clyde River,CA,70.4692,-68.5914,-25.37,75,0,6.91,clear sky
94,Tuktoyaktuk,CA,69.4541,-133.0374,-36.4,67,20,4.61,few clouds
95,Port Lincoln,AU,-34.7333,135.8667,64.2,67,100,14.18,overcast clouds
96,Esperance,AU,-33.8667,121.9,63.52,63,100,13.82,overcast clouds
97,Jedburgh,GB,55.48,-2.552,42.44,77,69,22.28,broken clouds
98,Kodiak,US,57.79,-152.4072,38.71,87,100,5.75,overcast clouds
99,Saldanha,ZA,-33.0117,17.9442,59.05,92,0,12.91,clear sky
100,Nador,MA,35.174,-2.9287,44.85,93,0,3.44,clear sky
101,Mattru,SL,7.6244,-11.8332,73.63,89,1,1.14,clear sky
102,Adrar,MR,20.5022,-10.0711,60.58,14,13,10.65,few clouds
103,Zwedru,LR,6.0667,-8.1281,72.14,94,3,1.59,clear sky
104,Hermanus,ZA,-34.4187,19.2345,63.81,93,3,2.17,clear sky
105,Pevek,RU,69.7008,170.3133,5.49,84,4,3.06,clear sky
106,Padang,ID,-0.9492,100.3543,82.45,83,100,2.64,overcast clouds
107,Ilulissat,GL,69.2167,-51.1,-2.18,65,77,3.44,broken clouds
108,East London,ZA,-33.0153,27.9116,70.59,86,3,5.44,clear sky
109,Port Alfred,ZA,-33.5906,26.891,67.17,96,6,5.68,clear sky
