City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
308,Sao Joao Da Barra,BR,76.73,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
310,Namatanai,PG,83.55,light rain,-3.6667,152.4333,Seagulls Inn Namatani
313,Reconquista,AR,80.37,clear sky,-29.15,-59.65,Grand Hotel
321,San Policarpo,PH,80.42,few clouds,12.1791,125.5072,Agapita M. Nicart
322,Moron,AR,77.97,overcast clouds,-34.6534,-58.6198,Hotel Morón
323,Buala,SB,83.05,light rain,-8.145,159.5921,Maringe Lagoon Lodge
329,Vung Tau,VN,78.04,overcast clouds,10.346,107.0843,Seaside Resort
331,Broken Hill,AU,76.8,clear sky,-31.95,141.4333,Royal Exchange Hotel
340,Faanui,PF,81.28,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
341,Seybaplaya,MX,76.84,overcast clouds,19.65,-90.6667,sala de fiesta san Rafael
343,Bubaque,GW,77.47,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
345,Anloga,GH,79.79,overcast clouds,5.7947,0.8973,Pin Drop Hotel
347,Pangai,TO,84.31,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
351,Tumbes,PE,80.55,broken clouds,-3.5667,-80.4414,Wyndham Costa del Sol Tumbes
359,Saint-Pierre,RE,76.68,light rain,-21.3393,55.4781,Alize Plage
367,Nieuw Amsterdam,SR,77.02,broken clouds,5.8833,-55.0833,Hotel Stardust
368,Quatre Cocos,MU,77.11,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
369,Nanakuli,US,83.57,few clouds,21.3906,-158.1547,Camp Pālehua
372,Bermejo,AR,80.51,scattered clouds,-32.8833,-68.8,Hotel Mendoza
375,Bengkulu,ID,80.58,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
376,Samarai,PG,84.79,overcast clouds,-10.6167,150.6667,Nuli Sapi
379,Gombong,ID,83.26,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
381,Wattegama,LK,78.89,overcast clouds,6.7989,81.4808,
385,Poum,NC,79.95,broken clouds,-20.2333,164.0167,
386,Camocim,BR,76.32,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
397,Hervey Bay,AU,80.73,moderate rain,-25.2986,152.8535,Shelly Bay Resort
408,La Plata,AR,76.03,few clouds,-34.9215,-57.9545,Hotel Corregidor
413,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
414,Biloela,AU,87.4,overcast clouds,-24.4167,150.5,Silo Motor Inn Biloela
415,Puerto Escondido,MX,79.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
416,Belmonte,BR,76.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
424,Dingle,PH,82.62,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
426,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
427,Mitsamiouli,KM,80.56,scattered clouds,-11.3847,43.2844,Foyer ADM
428,Katherine,AU,89.92,light rain,-14.4667,132.2667,Pine Tree Motel
431,Port Macquarie,AU,82.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
432,Mucuri,BR,76.5,overcast clouds,-18.0864,-39.5508,La Bodeguita Pousada
435,Jambi,ID,78.03,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
445,Pekalongan,ID,90.01,overcast clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
450,Pundaguitan,PH,81.19,few clouds,6.3711,126.1689,Leonardo Family Beach House 1
455,Yulara,AU,89.73,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
460,Kapit,MY,87.82,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
461,Lhokseumawe,ID,79.86,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
477,Poso,ID,78.96,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
478,Kirakira,SB,83.26,overcast clouds,-10.4544,161.9205,SanBiz Lodge
481,Morondava,MG,78.57,overcast clouds,-20.2833,44.2833,La Case Bambou
494,Makakilo City,US,82.15,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
496,Sorong,ID,83.52,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
